abbreviate,לקצר
abdomen,בטן
ability,יכולת
abnormal,לא נורמלי
abolish,לבטל
above,מעל
absolute,"מוחלט, מושלם"
absolutely,באופן מוחלט
absorb,"לקלוט, לספוג, להתעמק"
absorbent,בעל כושר ספיגה
absorption,ספיגה
abundant,בשפע
abuse,לנצל/להשתמש לרעה
accelerate,להאיץ
accept,"לקבל, להסכים"
acceptable,מקובל
acceptance,קבלה
access,"גישה, כניסה"
accessibility,נגישות
accessible,נגיש
accessory,"מסייע, מאפשר, שותף , אביזר"
accompany,"להתלוות, ללוות"
accomplish,"לבצע, להשיג"
accomplished,"מוכשר, בעל הישגים"
accomplishment,"הישג, השלמה"
according to, על פי
accordingly,בהתאם לכך
account,"חשבון בנק, דין וחשבון"
account for, להסביר
accountable,אחראי
accumulate,להצטבר' לצבור
accumulation,הצטברות
accumulative,מצטבר
accurate,"מדוייק, דייקן"
accurately,בדייקנות
achievable,ניתן להשגה
achieve,"להשיג, להשלים"
achievement,הישג
acquire,"לרכוש, להשיג"
actual,"עובדתי, אמיתי, ממשי"
acute,"רציני, חמור, אנוש, קריטי"
adapt,"להתאים, לעבד, לסגל"
adaptable,שאפשר להתאימו
adaptation,"הסתגלות, התאמה"
address,כתובת
adhere to, לדבוק ב...
adherence,"דבקות, הידבקות"
adjust,"לכוון, להסתגל"
administer,לנהל
administration,"ניהול, מנהל"
administrative,ניהולי
administrator,מנהל
admit,להודות
admit into, להכניס
admittance,"הודאה, הכנסה"
admittedly,"מוסכם, לכל הדעות"
adolescence,נעורים' גיל ההתבגרות
adopt,לאמץ
advance,"התקדמות, להתקדם, מקדמה"
advantage,יתרון
advantageous,מועיל
adversary,יריב
advertise,לפרסם
advertisement,"פרסומת, פרסום"
advice,עצה
advocate,"לסנגר, לדגול ב..."
affect,להשפיע
affection,חיבה
afflict,לייסר
afford,להרשות לעצמך
against,נגד
age,גיל
agenda,סדר יום
aggression,תוקפנות
aggressive,"תוקפני, אגרסיבי"
agree,להסכים
agriculture,חקלאות
aim,"מטרה, כיוון, לכוון, להתעתד"
air,אוויר
airplane,מטוס
airport,שדה תעופה
alert,"אזעקה, מצב היכון, להזהיר, ער, מוכן"
alertness,"עירנות, דריכות"
alien,חוצן
allegedly,לכאורה
allow,להרשות
allow for, להביא בחשבון
allowable,מותר
allowance,"דמי כיס, קצבה"
ally,"בעל ברית, לחבור, להתחבר"
also,גם
alternate,"לסירוגין, חלופי"
although,אף על פי כן
ambiguity,"דו משמעות, עמימות"
ambiguous,"עמום, דו משמעי"
ambition,"שאפתנות, שאיפה"
ambitious,"שאפתן, בעל שאיפות"
ambivalence,רגשות סותרים
ambivalent,בעל משמעויות סותרות
amiss,לא כשורה
ammunition,תחמושת
among (st)," בקרב, בין כמה דברים, נמנה עם"
amount,"סכום, להסתכם"
ancestor,אב קדמון
ancient,עתיק
annex,"אגף, תוספת, לספח, לצרף"
annoy,להרגיז
anxiety,חרדה
anxious,"חרד, מודאג, משתוקק"
apartment,דירה
appear,"להיראות, להופיע"
applaud,"להריע, למחוא כף"
apply,"להגיש בקשה, להגיש מועמדות, לשים, להפעיל"
apposite,"מתאים מאד, הולם"
appreciate,להעריך
approach,"להתקדם, לגשת, התקדמות, גישה, לפנות"
appropriate,"נאות, מתאים, להקציב, לקחת לעצמו"
appropriately,"באופן הולם, בצורה נאותה"
approval,"אישור, הסכמה"
approve,"להסכים, לאשר"
background,רקע
balance,"מאזניים, איזון, שיווי משקל, לאזן"
bamboozle,"לבלבל, לרמות"
ban,"להחרים, לאסור, חרם, איסור"
band,להקה
barefoot,יחף
barely,בקושי
barrack,לצעוק ולצחוק בגסות
barracks,מגורי חיילים
barrier,מחסום
base,"בסיס, שפל"
base on, לבסס על
basin,"גיגית, אגם מים, קערה"
bathroom,חדר אמבטיה
be aware of,  להיות מודע
bedroom,חדר שינה
beforehand,מראש
begin,להתחיל
behavior,התנהגות
bend,לעקם
beneath,מתחת
benefit,"תועלת, תגמול, קצבה, הטבה, להרוויח, רווח"
besides,"חוץ מזה, בנוסף על"
betray,לבגוד
betrayal,בגידה
between,בין
bitter,"מר, מכאיב, צורב"
bizarre,מוזר
blaspheme,לחלל (דבר קדוש)
blasphemy,חילול השם
bleed,לדמם
bloom,"לפרוח, ללבלב"
borrow,"לשאול חפץ, ללוות כסף"
bother,"להטריד, טרחה"
bothersome,"מטריד, מרגיז"
bottle,בקבוק
bottomless,ללא תחתית
branch,ענף
brave,אמיץ
bread,לחם
breadth,רוחב
break,לשבור
breakdown,התמוטטות
breakfast,ארוחת בוקר
break-through,פריצת דרך
breath,"לנשום, נשימה"
bride,כלה
bridle,"רסן, לרסן, לשים רסן על..."
bright,"מבריק, חכם, בוהק, מאיר"
bring,להביא
broad,"רחב, עצום, מלא, החלק הרחב"
broadcast,לשדר
broaden,להרחיב
brother,אח
brutality,אכזריות
brute,"בהמה, פראי"
brutish,"בהמי, אכזרי"
brutishly,"בבהמיות, באכזריות"
budget,"לתקצב, תקציב"
buffoon,ליצן
clarification,"הבהרה, טיהור"
clarify,"להבהיר, לטהר"
classify,לסווג
clean,נקי
clear,"בהיר, צלול, משוחרר, לסלק, לטהר, לפנות"
clever,פיקח
climate,אקלים
clock,שעון
cloud,ענן
coin,מטבע
collaborate,לשתף פעולה
collaboration,שיתוף פעולה
collapse,"להתמוטט, התמוטטות, לקפל"
collect,לאסוף
come,לבוא
commence,להתחיל
commensurate,תואם
commerce,מסחר
commercial,"מסחרי, פרסומת"
commiserate,להשתתף בצער
common,נפוץ
communicate,לתקשר
communication,תקשורת
communicative,מוכן לתקשר
commute,"נסיעה משותפת מפרברים לעבודה בעיר, להחליף"
company,"חברה, פלוגה"
comparable,ניתן להשוואה
comparative,"יחסי, השוואתי"
compare,להשוות
comparison,השוואה
compatible,"מתאים, הולם, תואם"
compete,להתחרות
competition,תחרות
competitive,תחרותי
complain,להתלונן
complaisance,"אדיבות, נכונות לרצות אחרים"
completely,לחלוטין
complex,"תשלובת, מורכב"
complexity,"מורכבות, סיבוך"
component,"חלק, מרכיב, רכיב"
compose,"להרכיב, להלחין"
composite,מורכב
composition,"הרכב, חיבור"
compulsion,כפייה
compulsive,כפייתי
compulsory,חובה
conceive,"לחשוב על..., להרות"
concentrate,להתרכז
concern,"דאגה, עניין, לדאוג, להתעניין"
conclude,"לסיים, להסיק"
conclusion,"סיום, מסקנה"
conclusive,מכריע
concurred with," להתרחש בו זמנית, להתאים"
condemn,"להרשיע, לגנות"
conduct,"התנהגות, לנהל, להוביל"
confess,"להודות, להתוודות"
confidence,"אמון, סוד"
confident,בטוח
confidential,"סודי, חשאי"
confine,להגביל
build,לבנות
building,בניין
birch,עץ ליבנה
burden,עול
burn,לשרוף
bus stop, תחנת אוטובוס
bush,שיח
business,עסקים
busy,עסוק
butter,חמאה
button,כפתור
buttress,"משען, תימוכין, לחזק, לתמוך"
buy,לקנות
by all means, בהחלט
by no means, בשום אופן לא
bypass,"לעקוף, מעקף"
calculate,"לחשב, לתכנן"
calm,"רוגע, להרגע"
camouflage,הסוואה
candid,"כן, גלוי לב"
candidly,בכנות
candle,נר
capable,"מסוגל, מוכשר"
capital,"עיר בירה, אות גדולה, הון, הון, הון"
carcass,פגר
care,"אכפתיות, דאגה, לדאוג"
carpet,שטיח
casual,"לבוש לא רשמי, מקרי"
catastrophe,אסון
catastrophic,הרה אסון
caused by, נגרם על ידי
cease,"לחדול, להפסיק"
ceaseless,ללא הפסק
cede,לוותר על
century,מאה
ceremony,טקס
certain,"בטוח, ודאי, מסויים"
certainly,"ללא ספק, בודאות"
certainty,"ודאות, דבר בטוח"
certify,לאשר
chain,שרשרת
challenge,"לקרוא תיגר, לאתגר, אתגר"
change,"שינוי, לשנות, להחליף"
chaos,תוהו ובוהו
chaotic,"פרוע, של תוהו ובוהו"
character,"אופי, אישיות, דמות"
characteristic,"אופייני, תכונה בולטת"
charity,צדקה
chauffeur,נהג
cheap,זול
cheese,גבינה
cherish,"לטפח, להוקיר"
chicken,עוף
chiefly,בעיקר
child,ילד/ה
choose,לבחור
cite,"לצטט, לזמן למשפט"
civilization,תרבות
civilize,לתרבת
claim,"לטעון, לתבוע, טענה, תביעה"
confines,גבולות
conflict,"ניגוד, סכסוך, לסתור"
confront,לעמת
confrontation,עימות
conquer,לכבוש
conquest,"כיבוש, ניצחון"
conscience,מצפון
conscientious,מודרך על יד מצפונו
conscious,בעל הכרה
consciously,במודע
consciousness,"הכרה, מודעות"
consequence,תוצאה
consequent,בא כתוצאה
consequential,"חשוב, מכריע"
consequently,כתוצאה מכך
consider,"לשקול, לחשוב על"
considerable,"ניכר, חשוב"
considerate,מתחשב
consideration,"התחשבות, עיון"
consist,מורכב מ...
consistency,"עקביות, סמיכות"
consistent,עקבי
conspicuous,בולט
constant,"קבוע, תמידי"
consternation,"תדהמה, פחד"
constituent,"מכונן, מרכיב"
constitute,"לכונן, להרכיב"
constitution,"הרכב, חוקה"
consult,להתייעץ
consume,"לשתות, לאכול, לצרוך, לכלות"
consumer,צרכן
contemporary,"עכשווי, בן זמננו, בן אותו זמן"
content,"תוכן, להיות שבע רצון, שביעות רצון"
contention,מחלוקת
contentious,מעורר מחלוקת
